,x,y,rating,date
0,1733356800000.0,54.91428571428572,neutral,2024-12-05
1,1733443200000.0,52.142857142857146,neutral,2024-12-06
2,1733702400000.0,49.25714285714287,neutral,2024-12-09
3,1733788800000.0,46.971428571428575,neutral,2024-12-10
4,1733875200000.0,49.2,neutral,2024-12-11
5,1733961600000.0,47.114285714285714,neutral,2024-12-12
6,1734048000000.0,49.114285714285714,neutral,2024-12-13
7,1734307200000.0,56.057142857142864,greed,2024-12-16
8,1734393600000.0,51.4,neutral,2024-12-17
9,1734480000000.0,33.12857142857143,fear,2024-12-18
10,1734566400000.0,19.514285714285716,extreme fear,2024-12-19
11,1734652800000.0,27.600000000000005,fear,2024-12-20
12,1734912000000.0,30.142857142857146,fear,2024-12-23
13,1734998400000.0,34.51428571428571,fear,2024-12-24
14,1735171200000.0,34.17142857142857,fear,2024-12-26
15,1735257600000.0,33.82857142857143,fear,2024-12-27
16,1735516800000.0,28.6,fear,2024-12-30
17,1735603200000.0,26.314285714285713,fear,2024-12-31
18,1735776000000.0,24.314285714285717,extreme fear,2025-01-02
19,1735862400000.0,28.885714285714283,fear,2025-01-03
20,1736121600000.0,33.77142857142857,fear,2025-01-06
21,1736208000000.0,34.31428571428572,fear,2025-01-07
22,1736294400000.0,31.914285714285718,fear,2025-01-08
23,1736467200000.0,25.62857142857143,fear,2025-01-10
24,1736726400000.0,25.34285714285715,fear,2025-01-13
25,1736812800000.0,25.142857142857142,fear,2025-01-14
26,1736899200000.0,27.428571428571427,fear,2025-01-15
27,1736985600000.0,27.342857142857145,fear,2025-01-16
28,1737072000000.0,36.02857142857143,fear,2025-01-17
29,1737417600000.0,39.91428571428572,fear,2025-01-21
30,1737504000000.0,41.62857142857143,fear,2025-01-22
31,1737590400000.0,43.68571428571429,fear,2025-01-23
32,1737676800000.0,45.800000000000004,neutral,2025-01-24
33,1737936000000.0,37.971428571428575,fear,2025-01-27
34,1738022400000.0,40.62857142857143,fear,2025-01-28
35,1738108800000.0,42.4,fear,2025-01-29
36,1738195200000.0,45.91428571428571,neutral,2025-01-30
37,1738281600000.0,43.771428571428565,fear,2025-01-31
38,1738540800000.0,37.4,fear,2025-02-03
39,1738627200000.0,37.142857142857146,fear,2025-02-04
40,1738713600000.0,38.62857142857143,fear,2025-02-05
41,1738800000000.0,39.68571428571429,fear,2025-02-06
42,1738886400000.0,38.371428571428574,fear,2025-02-07
43,1739145600000.0,44.714285714285715,fear,2025-02-10
44,1739232000000.0,45.4,neutral,2025-02-11
45,1739318400000.0,41.371428571428574,fear,2025-02-12
46,1739404800000.0,46.60000000000001,neutral,2025-02-13
47,1739491200000.0,43.68571428571429,fear,2025-02-14
48,1739836800000.0,46.800000000000004,neutral,2025-02-18
49,1739923200000.0,47.628571428571426,neutral,2025-02-19
50,1740009600000.0,44.228571428571435,fear,2025-02-20
51,1740096000000.0,36.971428571428575,fear,2025-02-21
52,1740355200000.0,29.542857142857144,fear,2025-02-24
53,1740441600000.0,24.199999999999996,extreme fear,2025-02-25
54,1740528000000.0,21.25714285714286,extreme fear,2025-02-26
55,1740614400000.0,12.757142857142858,extreme fear,2025-02-27
56,1740700800000.0,20.657142857142855,extreme fear,2025-02-28
57,1740960000000.0,12.342857142857143,extreme fear,2025-03-03
