"AssetID";"TargetPriceLow";"TargetPriceHigh";"Currency"
"LU1737653631";"0.0";"0.0";"EUR"
"BTC";"0.2";"0.0";"EUR"
"CA0679011084";"0.0";"0.0";"EUR"
"US0846707026";"148.0";"215.0";"EUR"
"US1912161007";"36.0";"49.0";"EUR"
"DE0008474503";"0.0";"0.0";"EUR"
"Gold";"0.0";"0.0";"EUR"
"FR0010315770";"0.0";"0.0";"EUR"
"US5949181045";"130.0";"190.0";"EUR"
"CH0038863350";"0.0";"0.0";"EUR"
"US7427181091";"80.0";"121.0";"EUR"
"DE0007165607";"0.0";"0.0";"EUR"
"GB00B03MLX29";"12.0";"24.0";"EUR"
"USD";"0.93";"1.05";"EUR"
"IE00BKM4GZ66";"0.0";"0.0";"EUR"
